"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids2",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","11 Jul 2017 04:41:48 UTC"
"net/input",,"system"
"recv","send","time"
0,0,11-07 04:41:48
0,0,11-07 04:41:49
0,0,11-07 04:41:50
0,0,11-07 04:41:51
0,0,11-07 04:41:52
0,0,11-07 04:41:53
0,0,11-07 04:41:54
0,0,11-07 04:41:55
0,0,11-07 04:41:56
0,0,11-07 04:41:57
0,0,11-07 04:41:58
0,0,11-07 04:41:59
0,0,11-07 04:42:00
0,0,11-07 04:42:01
0,0,11-07 04:42:02
0,0,11-07 04:42:03
0,0,11-07 04:42:04
0,0,11-07 04:42:05
0,0,11-07 04:42:06
0,0,11-07 04:42:07
0,0,11-07 04:42:08
0,0,11-07 04:42:09
0,0,11-07 04:42:10
125964,0,11-07 04:42:11
1312315,0,11-07 04:42:12
1308556,0,11-07 04:42:13
1296377,0,11-07 04:42:14
1255075,0,11-07 04:42:15
1212953,0,11-07 04:42:16
1170701,0,11-07 04:42:17
975542,0,11-07 04:42:18
1308023,0,11-07 04:42:19
1309001,0,11-07 04:42:20
1308122,0,11-07 04:42:21
1307218,0,11-07 04:42:22
1299954,0,11-07 04:42:23
1303495,0,11-07 04:42:24
1271536,0,11-07 04:42:25
1289337,0,11-07 04:42:26
1288027,0,11-07 04:42:27
1307910,0,11-07 04:42:28
1287207,0,11-07 04:42:29
1309805,0,11-07 04:42:30
1252197,0,11-07 04:42:31
1201196,0,11-07 04:42:32
1307268,0,11-07 04:42:33
1308779,0,11-07 04:42:34
1309445,0,11-07 04:42:35
1308772,0,11-07 04:42:36
1193088,0,11-07 04:42:37
944362,0,11-07 04:42:38
1002065,0,11-07 04:42:39
1295373,0,11-07 04:42:40
1285242,0,11-07 04:42:41
1305909,0,11-07 04:42:42
1183694,0,11-07 04:42:43
1285361,0,11-07 04:42:44
1304820,0,11-07 04:42:45
1304662,0,11-07 04:42:46
1304898,0,11-07 04:42:47
1304368,0,11-07 04:42:48
1304238,0,11-07 04:42:49
1304076,0,11-07 04:42:50
1304482,0,11-07 04:42:51
1304330,0,11-07 04:42:52
1303277,0,11-07 04:42:53
1303315,0,11-07 04:42:54
1302764,0,11-07 04:42:55
1301157,0,11-07 04:42:56
1308223,0,11-07 04:42:57
1308028,0,11-07 04:42:58
1309234,0,11-07 04:42:59
1110169,42,11-07 04:43:00
1309540,0,11-07 04:43:01
1293959,0,11-07 04:43:02
1183969,2220,11-07 04:43:03
1250758,0,11-07 04:43:04
873608,370,11-07 04:43:05
1308617,0,11-07 04:43:06
1308486,0,11-07 04:43:07
1309127,42,11-07 04:43:08
1306976,0,11-07 04:43:09
1305762,0,11-07 04:43:10
1298521,1110,11-07 04:43:11
1270635,1480,11-07 04:43:12
1306147,0,11-07 04:43:13
1290974,370,11-07 04:43:14
1286439,370,11-07 04:43:15
1309046,370,11-07 04:43:16
1289120,370,11-07 04:43:17
1266300,0,11-07 04:43:18
1269566,1110,11-07 04:43:19
1225030,0,11-07 04:43:20
1307836,0,11-07 04:43:21
1309559,0,11-07 04:43:22
1308093,0,11-07 04:43:23
1308583,0,11-07 04:43:24
1047961,2220,11-07 04:43:25
956909,370,11-07 04:43:26
314592,0,11-07 04:43:27
0,0,11-07 04:43:28
0,0,11-07 04:43:29
