"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth2 --nocolor --output ./results/upgrade/10-from-client.csv",,,,"Date:","27 Jul 2017 02:25:13 UTC"

"net/dc1.s1-eth2",,"system"
"recv","send","time"
0.0,0.0,27-07 02:25:13
1235142.0,618.0,27-07 02:25:14
2617858.0,103.0,27-07 02:25:15
2616935.0,0.0,27-07 02:25:16
2617713.0,206.0,27-07 02:25:17
2617633.0,103.0,27-07 02:25:18
2613790.0,0.0,27-07 02:25:19
2616050.0,0.0,27-07 02:25:20
2604614.0,0.0,27-07 02:25:21
2620342.0,0.0,27-07 02:25:22
2618234.0,0.0,27-07 02:25:23
2618239.0,103.0,27-07 02:25:24
2616926.0,0.0,27-07 02:25:25
2619858.0,0.0,27-07 02:25:26
2616768.0,0.0,27-07 02:25:27
2619589.0,515.0,27-07 02:25:28
2617048.0,206.0,27-07 02:25:29
2618568.0,103.0,27-07 02:25:30
2618356.0,103.0,27-07 02:25:31
2616919.0,0.0,27-07 02:25:32
2610091.0,103.0,27-07 02:25:33
2614809.0,0.0,27-07 02:25:34
2617240.0,0.0,27-07 02:25:35
2614494.0,0.0,27-07 02:25:36
2612549.0,515.0,27-07 02:25:37
2607794.0,2323.0,27-07 02:25:38
2618206.0,74.0,27-07 02:25:39
2614943.0,473.0,27-07 02:25:40
2617578.0,0.0,27-07 02:25:41
2612880.0,0.0,27-07 02:25:42
2614225.0,103.0,27-07 02:25:43
2614302.0,206.0,27-07 02:25:44
2618004.0,206.0,27-07 02:25:45
2618319.0,1213.0,27-07 02:25:46
2615315.0,103.0,27-07 02:25:47
2618100.0,103.0,27-07 02:25:48
2616712.0,103.0,27-07 02:25:49
2617142.0,0.0,27-07 02:25:50
2594909.0,206.0,27-07 02:25:51
2617612.0,843.0,27-07 02:25:52
2619195.0,103.0,27-07 02:25:53
2616582.0,1255.0,27-07 02:25:54
2617362.0,0.0,27-07 02:25:55
2619789.0,0.0,27-07 02:25:56
2618359.0,0.0,27-07 02:25:57
2618848.0,0.0,27-07 02:25:58
2616615.0,0.0,27-07 02:25:59
2607768.0,2468.0,27-07 02:26:00
2607975.0,103.0,27-07 02:26:01
2614562.0,103.0,27-07 02:26:02
2615422.0,103.0,27-07 02:26:03
2618704.0,103.0,27-07 02:26:04
2618052.0,103.0,27-07 02:26:05
2557054.0,103.0,27-07 02:26:06
2620308.0,0.0,27-07 02:26:07
2618774.0,0.0,27-07 02:26:08
2614110.0,0.0,27-07 02:26:09
2618360.0,0.0,27-07 02:26:10
2606186.0,0.0,27-07 02:26:11
2611049.0,103.0,27-07 02:26:12
2610810.0,0.0,27-07 02:26:13
2618568.0,0.0,27-07 02:26:14
2613690.0,0.0,27-07 02:26:15
2619492.0,515.0,27-07 02:26:16
2618550.0,206.0,27-07 02:26:17
2617974.0,103.0,27-07 02:26:18
2611891.0,103.0,27-07 02:26:19
2612363.0,0.0,27-07 02:26:20
2617401.0,103.0,27-07 02:26:21
2616937.0,0.0,27-07 02:26:22
2613086.0,0.0,27-07 02:26:23
2618954.0,412.0,27-07 02:26:24
2620325.0,103.0,27-07 02:26:25
2616540.0,103.0,27-07 02:26:26
2617791.0,74.0,27-07 02:26:27
2618064.0,103.0,27-07 02:26:28
2608974.0,0.0,27-07 02:26:29
2618813.0,0.0,27-07 02:26:30
2618660.0,103.0,27-07 02:26:31
2617204.0,206.0,27-07 02:26:32
2619212.0,206.0,27-07 02:26:33
2616101.0,1213.0,27-07 02:26:34
2616390.0,1583.0,27-07 02:26:35
2616079.0,473.0,27-07 02:26:36
2616812.0,473.0,27-07 02:26:37
2609689.0,473.0,27-07 02:26:38
2614216.0,473.0,27-07 02:26:39
2611546.0,103.0,27-07 02:26:40
2615259.0,843.0,27-07 02:26:41
2613160.0,145.0,27-07 02:26:42
2617008.0,0.0,27-07 02:26:43
2619999.0,0.0,27-07 02:26:44
2615949.0,0.0,27-07 02:26:45
2614718.0,0.0,27-07 02:26:46
2616970.0,515.0,27-07 02:26:47
2605895.0,103.0,27-07 02:26:48
2616397.0,103.0,27-07 02:26:49
2616544.0,103.0,27-07 02:26:50
2612292.0,103.0,27-07 02:26:51
2611430.0,103.0,27-07 02:26:52
2619900.0,103.0,27-07 02:26:53
2615134.0,103.0,27-07 02:26:54
2614392.0,0.0,27-07 02:26:55
2617320.0,0.0,27-07 02:26:56
2617210.0,0.0,27-07 02:26:57
2613724.0,0.0,27-07 02:26:58
2619347.0,103.0,27-07 02:26:59
2620308.0,0.0,27-07 02:27:00
2619922.0,0.0,27-07 02:27:01
2618056.0,0.0,27-07 02:27:02
2619974.0,515.0,27-07 02:27:03
2618483.0,0.0,27-07 02:27:04
2620020.0,206.0,27-07 02:27:05
2574572.0,206.0,27-07 02:27:06
2617017.0,0.0,27-07 02:27:07
2617174.0,0.0,27-07 02:27:08
2615927.0,103.0,27-07 02:27:09
2619613.0,0.0,27-07 02:27:10
2613338.0,0.0,27-07 02:27:11
2609247.0,412.0,27-07 02:27:12
2607327.0,206.0,27-07 02:27:13
2614582.0,2294.0,27-07 02:27:14
2608301.0,473.0,27-07 02:27:15
2618311.0,0.0,27-07 02:27:16
2617098.0,0.0,27-07 02:27:17
2614541.0,0.0,27-07 02:27:18
2609519.0,206.0,27-07 02:27:19
2615828.0,206.0,27-07 02:27:20
2615478.0,1316.0,27-07 02:27:21
2615262.0,103.0,27-07 02:27:22
2617729.0,103.0,27-07 02:27:23
2615277.0,0.0,27-07 02:27:24
2618293.0,103.0,27-07 02:27:25
2611577.0,103.0,27-07 02:27:26
2617905.0,206.0,27-07 02:27:27
2618334.0,103.0,27-07 02:27:28
2613397.0,145.0,27-07 02:27:29
2616034.0,0.0,27-07 02:27:30
2620371.0,0.0,27-07 02:27:31
2613429.0,0.0,27-07 02:27:32
2608579.0,0.0,27-07 02:27:33
2617647.0,0.0,27-07 02:27:34
2610608.0,618.0,27-07 02:27:35
2615381.0,103.0,27-07 02:27:36
2609376.0,103.0,27-07 02:27:37
2613992.0,103.0,27-07 02:27:38
2616882.0,0.0,27-07 02:27:39
2612465.0,103.0,27-07 02:27:40
2612517.0,103.0,27-07 02:27:41
2604502.0,103.0,27-07 02:27:42
2615962.0,0.0,27-07 02:27:43
2615530.0,0.0,27-07 02:27:44
2618286.0,0.0,27-07 02:27:45
2615218.0,0.0,27-07 02:27:46
2618239.0,103.0,27-07 02:27:47
2619706.0,0.0,27-07 02:27:48
2620114.0,0.0,27-07 02:27:49
2612808.0,0.0,27-07 02:27:50
2606971.0,515.0,27-07 02:27:51
2610384.0,206.0,27-07 02:27:52
2614810.0,103.0,27-07 02:27:53
2617462.0,103.0,27-07 02:27:54
2617835.0,0.0,27-07 02:27:55
2611995.0,103.0,27-07 02:27:56
2616591.0,0.0,27-07 02:27:57
2614114.0,0.0,27-07 02:27:58
2606484.0,0.0,27-07 02:27:59
2617375.0,515.0,27-07 02:28:00
2611512.0,103.0,27-07 02:28:01
2618366.0,74.0,27-07 02:28:02
2618251.0,103.0,27-07 02:28:03
2610278.0,0.0,27-07 02:28:04
