"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth2 --nocolor --output ./results/upgrade/100-from-client.csv",,,,"Date:","27 Jul 2017 00:04:50 UTC"

"net/dc1.s1-eth2",,"system"
"recv","send","time"
0.0,0.0,27-07 00:04:50
1466647.0,618.0,27-07 00:04:51
2621762.0,103.0,27-07 00:04:52
2621809.0,103.0,27-07 00:04:53
2623025.0,103.0,27-07 00:04:54
2623778.0,103.0,27-07 00:04:55
2620704.0,0.0,27-07 00:04:56
2624202.0,0.0,27-07 00:04:57
2622184.0,0.0,27-07 00:04:58
2622006.0,0.0,27-07 00:04:59
2622512.0,0.0,27-07 00:05:00
2622581.0,103.0,27-07 00:05:01
2621548.0,0.0,27-07 00:05:02
2623772.0,0.0,27-07 00:05:03
2622758.0,0.0,27-07 00:05:04
2621029.0,515.0,27-07 00:05:05
2623742.0,206.0,27-07 00:05:06
2621789.0,103.0,27-07 00:05:07
2622391.0,103.0,27-07 00:05:08
2621663.0,0.0,27-07 00:05:09
2622073.0,103.0,27-07 00:05:10
2621293.0,0.0,27-07 00:05:11
2622336.0,0.0,27-07 00:05:12
2623010.0,0.0,27-07 00:05:13
2622432.0,515.0,27-07 00:05:14
2622360.0,2323.0,27-07 00:05:15
2623224.0,74.0,27-07 00:05:16
2622516.0,473.0,27-07 00:05:17
2622480.0,0.0,27-07 00:05:18
2621947.0,0.0,27-07 00:05:19
2620920.0,145.0,27-07 00:05:20
2623272.0,206.0,27-07 00:05:21
2621652.0,206.0,27-07 00:05:22
2621975.0,1213.0,27-07 00:05:23
2622557.0,1583.0,27-07 00:05:24
2621313.0,473.0,27-07 00:05:25
2623658.0,473.0,27-07 00:05:26
2621616.0,0.0,27-07 00:05:27
2621385.0,576.0,27-07 00:05:28
2622170.0,370.0,27-07 00:05:29
2623943.0,946.0,27-07 00:05:30
2621545.0,473.0,27-07 00:05:31
2622888.0,0.0,27-07 00:05:32
2622221.0,0.0,27-07 00:05:33
2620381.0,0.0,27-07 00:05:34
2623688.0,0.0,27-07 00:05:35
2622207.0,2365.0,27-07 00:05:36
2625559.0,473.0,27-07 00:05:37
2624879.0,473.0,27-07 00:05:38
2621597.0,103.0,27-07 00:05:39
2622324.0,103.0,27-07 00:05:40
2622668.0,103.0,27-07 00:05:41
2622455.0,103.0,27-07 00:05:42
2623055.0,103.0,27-07 00:05:43
2621642.0,0.0,27-07 00:05:44
2623308.0,0.0,27-07 00:05:45
2621596.0,0.0,27-07 00:05:46
2622896.0,0.0,27-07 00:05:47
2623591.0,103.0,27-07 00:05:48
2621436.0,0.0,27-07 00:05:49
2622746.0,0.0,27-07 00:05:50
2622718.0,0.0,27-07 00:05:51
2620878.0,515.0,27-07 00:05:52
2623659.0,0.0,27-07 00:05:53
2623301.0,206.0,27-07 00:05:54
2620827.0,206.0,27-07 00:05:55
2623577.0,0.0,27-07 00:05:56
2621626.0,42.0,27-07 00:05:57
2620409.0,103.0,27-07 00:05:58
2623033.0,0.0,27-07 00:05:59
2622854.0,0.0,27-07 00:06:00
2621622.0,412.0,27-07 00:06:01
2623601.0,206.0,27-07 00:06:02
2622271.0,2294.0,27-07 00:06:03
2622568.0,473.0,27-07 00:06:04
2621794.0,0.0,27-07 00:06:05
2623084.0,0.0,27-07 00:06:06
2621241.0,0.0,27-07 00:06:07
2621597.0,206.0,27-07 00:06:08
2623088.0,206.0,27-07 00:06:09
2622013.0,1316.0,27-07 00:06:10
2622017.0,103.0,27-07 00:06:11
2623589.0,1583.0,27-07 00:06:12
2620989.0,370.0,27-07 00:06:13
2622763.0,473.0,27-07 00:06:14
2621675.0,473.0,27-07 00:06:15
2622119.0,473.0,27-07 00:06:16
2622986.0,206.0,27-07 00:06:17
2620964.0,843.0,27-07 00:06:18
2622452.0,370.0,27-07 00:06:19
2623450.0,0.0,27-07 00:06:20
2620267.0,0.0,27-07 00:06:21
2623339.0,0.0,27-07 00:06:22
2622405.0,0.0,27-07 00:06:23
2625309.0,2838.0,27-07 00:06:24
2622486.0,473.0,27-07 00:06:25
2625086.0,103.0,27-07 00:06:26
2620854.0,103.0,27-07 00:06:27
2623065.0,103.0,27-07 00:06:28
2623885.0,103.0,27-07 00:06:29
2621901.0,103.0,27-07 00:06:30
2623097.0,0.0,27-07 00:06:31
2622938.0,42.0,27-07 00:06:32
2620794.0,0.0,27-07 00:06:33
2623204.0,0.0,27-07 00:06:34
2622512.0,0.0,27-07 00:06:35
2621127.0,103.0,27-07 00:06:36
2623642.0,0.0,27-07 00:06:37
2623324.0,0.0,27-07 00:06:38
2621304.0,0.0,27-07 00:06:39
2621969.0,515.0,27-07 00:06:40
2623138.0,206.0,27-07 00:06:41
2622347.0,103.0,27-07 00:06:42
2621861.0,103.0,27-07 00:06:43
2622909.0,0.0,27-07 00:06:44
2620829.0,103.0,27-07 00:06:45
2622467.0,0.0,27-07 00:06:46
2623202.0,0.0,27-07 00:06:47
2620690.0,0.0,27-07 00:06:48
2622932.0,515.0,27-07 00:06:49
2623384.0,2323.0,27-07 00:06:50
2620940.0,74.0,27-07 00:06:51
2623296.0,473.0,27-07 00:06:52
2622410.0,0.0,27-07 00:06:53
2621927.0,0.0,27-07 00:06:54
2622030.0,103.0,27-07 00:06:55
2623186.0,206.0,27-07 00:06:56
2620150.0,206.0,27-07 00:06:57
2623544.0,1213.0,27-07 00:06:58
2623246.0,1583.0,27-07 00:06:59
2620145.0,473.0,27-07 00:07:00
2623820.0,473.0,27-07 00:07:01
2622666.0,0.0,27-07 00:07:02
2620191.0,576.0,27-07 00:07:03
2623688.0,370.0,27-07 00:07:04
2622533.0,946.0,27-07 00:07:05
2621989.0,473.0,27-07 00:07:06
2621988.0,0.0,27-07 00:07:07
2622615.0,42.0,27-07 00:07:08
2621463.0,0.0,27-07 00:07:09
2622538.0,0.0,27-07 00:07:10
2623149.0,2365.0,27-07 00:07:11
2624657.0,473.0,27-07 00:07:12
2624920.0,473.0,27-07 00:07:13
2622626.0,103.0,27-07 00:07:14
2620930.0,103.0,27-07 00:07:15
2622712.0,103.0,27-07 00:07:16
2621930.0,103.0,27-07 00:07:17
2623216.0,103.0,27-07 00:07:18
2622948.0,0.0,27-07 00:07:19
2621790.0,0.0,27-07 00:07:20
2623050.0,0.0,27-07 00:07:21
2623408.0,0.0,27-07 00:07:22
2620319.0,103.0,27-07 00:07:23
2622762.0,0.0,27-07 00:07:24
2624308.0,0.0,27-07 00:07:25
2621136.0,0.0,27-07 00:07:26
2623320.0,515.0,27-07 00:07:27
2622643.0,0.0,27-07 00:07:28
2620825.0,206.0,27-07 00:07:29
2623885.0,206.0,27-07 00:07:30
2622287.0,0.0,27-07 00:07:31
2621074.0,0.0,27-07 00:07:32
2621863.0,103.0,27-07 00:07:33
2623201.0,0.0,27-07 00:07:34
2621372.0,0.0,27-07 00:07:35
2622285.0,412.0,27-07 00:07:36
2622772.0,206.0,27-07 00:07:37
2622571.0,2294.0,27-07 00:07:38
2623610.0,103.0,27-07 00:07:39
2621862.0,370.0,27-07 00:07:40
2621770.0,0.0,27-07 00:07:41
2622457.0,42.0,27-07 00:07:42
2622853.0,206.0,27-07 00:07:43
2621068.0,206.0,27-07 00:07:44
