"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf1 --bits --output /tmp/dstat.csv",,,,"Date:","25 Jul 2017 18:51:05 UTC"
"net/intf1",,"system"
"recv","send","time"
0,0,25-07 18:51:05
0,54418858,25-07 18:51:06
0,79083060,25-07 18:51:07
0,84598082,25-07 18:51:08
2838,112730570,25-07 18:51:09
473,142735410,25-07 18:51:10
103,147040392,25-07 18:51:11
473,143297424,25-07 18:51:12
843,148168116,25-07 18:51:13
473,144478088,25-07 18:51:14
103,146102536,25-07 18:51:15
843,146621275,25-07 18:51:16
473,155310003,25-07 18:51:17
473,144393936,25-07 18:51:18
103,134641839,25-07 18:51:19
473,143008752,25-07 18:51:20
843,143710334,25-07 18:51:21
473,148145242,25-07 18:51:22
473,139755726,25-07 18:51:23
103,141341443,25-07 18:51:24
473,151143291,25-07 18:51:25
473,149407205,25-07 18:51:26
843,139569406,25-07 18:51:27
74,134767539,25-07 18:51:28
473,146018380,25-07 18:51:29
843,141548645,25-07 18:51:30
103,151276469,25-07 18:51:31
843,134370418,25-07 18:51:32
82,143909497,25-07 18:51:33
103,149685990,25-07 18:51:34
103,151605786,25-07 18:51:35
1213,148257948,25-07 18:51:36
473,135669917,25-07 18:51:37
473,147279203,25-07 18:51:38
843,148121542,25-07 18:51:39
103,148972937,25-07 18:51:40
473,136519945,25-07 18:51:41
473,141997137,25-07 18:51:42
473,149545603,25-07 18:51:43
843,142082202,25-07 18:51:44
473,141852308,25-07 18:51:45
145,127077943,25-07 18:51:46
473,147986039,25-07 18:51:47
473,139526220,25-07 18:51:48
843,147579115,25-07 18:51:49
473,148437486,25-07 18:51:50
103,132772067,25-07 18:51:51
473,141897438,25-07 18:51:52
473,153327782,25-07 18:51:53
843,147472663,25-07 18:51:54
103,135034289,25-07 18:51:55
473,145467933,25-07 18:51:56
473,140216326,25-07 18:51:57
843,141904677,25-07 18:51:58
473,141885513,25-07 18:51:59
103,138431687,25-07 18:52:00
473,151949148,25-07 18:52:01
843,150069100,25-07 18:52:02
473,137315585,25-07 18:52:03
103,138764912,25-07 18:52:04
473,150541949,25-07 18:52:05
473,150014648,25-07 18:52:06
843,141134431,25-07 18:52:07
473,139220753,25-07 18:52:08
103,123518119,25-07 18:52:09
103,152193585,25-07 18:52:10
103,137753114,25-07 18:52:11
103,143006763,25-07 18:52:12
103,138613771,25-07 18:52:13
74,140242683,25-07 18:52:14
103,146398913,25-07 18:52:15
103,149058067,25-07 18:52:16
103,151046909,25-07 18:52:17
103,138354781,25-07 18:52:18
103,149018422,25-07 18:52:19
103,147073768,25-07 18:52:20
103,149742117,25-07 18:52:21
