"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth14 --nocolor --output ./results/upgrade/1000-from-vpn-fw.csv",,,,"Date:","27 Jul 2017 22:24:18 UTC"

"net/dc2.s1-eth14",,"system"
"recv","send","time"
0.0,0.0,27-07 22:24:18
0.0,7661126.0,27-07 22:24:19
0.0,13215406.0,27-07 22:24:20
0.0,13192142.0,27-07 22:24:21
0.0,13202320.0,27-07 22:24:22
0.0,13199412.0,27-07 22:24:23
42.0,13206724.0,27-07 22:24:24
0.0,13213952.0,27-07 22:24:25
0.0,13208136.0,27-07 22:24:26
0.0,13205228.0,27-07 22:24:27
0.0,13202320.0,27-07 22:24:28
0.0,13196504.0,27-07 22:24:29
0.0,13203774.0,27-07 22:24:30
0.0,13213952.0,27-07 22:24:31
0.0,13197958.0,27-07 22:24:32
0.0,13206682.0,27-07 22:24:33
0.0,13203774.0,27-07 22:24:34
0.0,13206682.0,27-07 22:24:35
0.0,13215406.0,27-07 22:24:36
0.0,13196504.0,27-07 22:24:37
0.0,13208136.0,27-07 22:24:38
0.0,13195050.0,27-07 22:24:39
0.0,13208136.0,27-07 22:24:40
0.0,13190688.0,27-07 22:24:41
0.0,13199412.0,27-07 22:24:42
0.0,13211044.0,27-07 22:24:43
0.0,13192142.0,27-07 22:24:44
0.0,13213952.0,27-07 22:24:45
0.0,13197958.0,27-07 22:24:46
0.0,13215406.0,27-07 22:24:47
0.0,13197958.0,27-07 22:24:48
0.0,13206682.0,27-07 22:24:49
0.0,13205228.0,27-07 22:24:50
0.0,13203774.0,27-07 22:24:51
0.0,13202320.0,27-07 22:24:52
0.0,13203774.0,27-07 22:24:53
0.0,13205228.0,27-07 22:24:54
42.0,13206724.0,27-07 22:24:55
0.0,13205228.0,27-07 22:24:56
0.0,13205228.0,27-07 22:24:57
0.0,13206682.0,27-07 22:24:58
0.0,13206682.0,27-07 22:24:59
0.0,13205228.0,27-07 22:25:00
0.0,13206682.0,27-07 22:25:01
0.0,13203774.0,27-07 22:25:02
0.0,13206682.0,27-07 22:25:03
0.0,13203774.0,27-07 22:25:04
0.0,13205228.0,27-07 22:25:05
0.0,13216860.0,27-07 22:25:06
0.0,13208136.0,27-07 22:25:07
0.0,13197958.0,27-07 22:25:08
0.0,13208136.0,27-07 22:25:09
0.0,13215406.0,27-07 22:25:10
0.0,13196504.0,27-07 22:25:11
0.0,13206682.0,27-07 22:25:12
0.0,13213952.0,27-07 22:25:13
0.0,13203774.0,27-07 22:25:14
0.0,13195050.0,27-07 22:25:15
0.0,13202320.0,27-07 22:25:16
0.0,13203774.0,27-07 22:25:17
0.0,13203774.0,27-07 22:25:18
0.0,13203774.0,27-07 22:25:19
0.0,13208136.0,27-07 22:25:20
0.0,13205228.0,27-07 22:25:21
0.0,13202320.0,27-07 22:25:22
