"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth10 --nocolor --output ./results/upgrade/10000-from-ids2.csv",,,,"Date:","27 Jul 2017 02:41:08 UTC"

"net/dc2.s1-eth10",,"system"
"recv","send","time"
0.0,0.0,27-07 02:41:08
0.0,0.0,27-07 02:41:09
0.0,0.0,27-07 02:41:10
0.0,0.0,27-07 02:41:11
0.0,0.0,27-07 02:41:12
0.0,0.0,27-07 02:41:13
0.0,0.0,27-07 02:41:14
0.0,0.0,27-07 02:41:15
0.0,0.0,27-07 02:41:16
0.0,0.0,27-07 02:41:17
0.0,0.0,27-07 02:41:18
0.0,0.0,27-07 02:41:19
0.0,0.0,27-07 02:41:20
0.0,0.0,27-07 02:41:21
0.0,0.0,27-07 02:41:22
0.0,0.0,27-07 02:41:23
0.0,0.0,27-07 02:41:24
0.0,0.0,27-07 02:41:25
0.0,0.0,27-07 02:41:26
0.0,0.0,27-07 02:41:27
0.0,0.0,27-07 02:41:28
0.0,0.0,27-07 02:41:29
0.0,0.0,27-07 02:41:30
0.0,0.0,27-07 02:41:31
0.0,0.0,27-07 02:41:32
0.0,0.0,27-07 02:41:33
0.0,0.0,27-07 02:41:34
0.0,0.0,27-07 02:41:35
0.0,0.0,27-07 02:41:36
0.0,0.0,27-07 02:41:37
0.0,0.0,27-07 02:41:38
0.0,0.0,27-07 02:41:39
0.0,0.0,27-07 02:41:40
0.0,0.0,27-07 02:41:41
0.0,0.0,27-07 02:41:42
0.0,0.0,27-07 02:41:43
0.0,0.0,27-07 02:41:44
0.0,0.0,27-07 02:41:45
0.0,0.0,27-07 02:41:46
0.0,0.0,27-07 02:41:47
0.0,0.0,27-07 02:41:48
0.0,0.0,27-07 02:41:49
0.0,0.0,27-07 02:41:50
0.0,0.0,27-07 02:41:51
0.0,0.0,27-07 02:41:52
0.0,0.0,27-07 02:41:53
0.0,0.0,27-07 02:41:54
0.0,0.0,27-07 02:41:55
0.0,0.0,27-07 02:41:56
0.0,0.0,27-07 02:41:57
0.0,0.0,27-07 02:41:58
0.0,0.0,27-07 02:41:59
0.0,0.0,27-07 02:42:00
0.0,0.0,27-07 02:42:01
0.0,0.0,27-07 02:42:02
0.0,0.0,27-07 02:42:03
0.0,0.0,27-07 02:42:04
0.0,0.0,27-07 02:42:05
0.0,0.0,27-07 02:42:06
0.0,0.0,27-07 02:42:07
0.0,0.0,27-07 02:42:08
0.0,0.0,27-07 02:42:09
0.0,0.0,27-07 02:42:10
0.0,0.0,27-07 02:42:11
0.0,0.0,27-07 02:42:12
0.0,0.0,27-07 02:42:13
0.0,0.0,27-07 02:42:14
0.0,0.0,27-07 02:42:15
0.0,0.0,27-07 02:42:16
0.0,0.0,27-07 02:42:17
0.0,0.0,27-07 02:42:18
0.0,0.0,27-07 02:42:19
0.0,0.0,27-07 02:42:20
0.0,0.0,27-07 02:42:21
0.0,0.0,27-07 02:42:22
0.0,0.0,27-07 02:42:23
0.0,0.0,27-07 02:42:24
0.0,0.0,27-07 02:42:25
0.0,0.0,27-07 02:42:26
0.0,0.0,27-07 02:42:27
0.0,0.0,27-07 02:42:28
0.0,0.0,27-07 02:42:29
0.0,0.0,27-07 02:42:30
0.0,0.0,27-07 02:42:31
0.0,0.0,27-07 02:42:32
0.0,0.0,27-07 02:42:33
0.0,0.0,27-07 02:42:34
0.0,0.0,27-07 02:42:35
0.0,0.0,27-07 02:42:36
0.0,0.0,27-07 02:42:37
0.0,0.0,27-07 02:42:38
0.0,0.0,27-07 02:42:39
0.0,0.0,27-07 02:42:40
0.0,0.0,27-07 02:42:41
0.0,0.0,27-07 02:42:42
0.0,0.0,27-07 02:42:43
0.0,0.0,27-07 02:42:44
0.0,0.0,27-07 02:42:45
0.0,0.0,27-07 02:42:46
0.0,0.0,27-07 02:42:47
0.0,0.0,27-07 02:42:48
0.0,0.0,27-07 02:42:49
0.0,0.0,27-07 02:42:50
0.0,0.0,27-07 02:42:51
0.0,0.0,27-07 02:42:52
0.0,0.0,27-07 02:42:53
0.0,0.0,27-07 02:42:54
0.0,0.0,27-07 02:42:55
0.0,0.0,27-07 02:42:56
0.0,0.0,27-07 02:42:57
0.0,0.0,27-07 02:42:58
0.0,0.0,27-07 02:42:59
0.0,0.0,27-07 02:43:00
0.0,0.0,27-07 02:43:01
0.0,0.0,27-07 02:43:02
0.0,0.0,27-07 02:43:03
0.0,0.0,27-07 02:43:04
0.0,0.0,27-07 02:43:05
0.0,0.0,27-07 02:43:06
0.0,0.0,27-07 02:43:07
0.0,0.0,27-07 02:43:08
0.0,0.0,27-07 02:43:09
0.0,0.0,27-07 02:43:10
0.0,0.0,27-07 02:43:11
0.0,0.0,27-07 02:43:12
0.0,0.0,27-07 02:43:13
0.0,0.0,27-07 02:43:14
0.0,0.0,27-07 02:43:15
0.0,0.0,27-07 02:43:16
0.0,0.0,27-07 02:43:17
0.0,0.0,27-07 02:43:18
0.0,0.0,27-07 02:43:19
0.0,0.0,27-07 02:43:20
0.0,0.0,27-07 02:43:21
0.0,0.0,27-07 02:43:22
0.0,0.0,27-07 02:43:23
0.0,0.0,27-07 02:43:24
0.0,0.0,27-07 02:43:25
0.0,0.0,27-07 02:43:26
0.0,0.0,27-07 02:43:27
0.0,0.0,27-07 02:43:28
0.0,0.0,27-07 02:43:29
0.0,0.0,27-07 02:43:30
0.0,0.0,27-07 02:43:31
0.0,0.0,27-07 02:43:32
0.0,0.0,27-07 02:43:33
0.0,0.0,27-07 02:43:34
0.0,0.0,27-07 02:43:35
0.0,0.0,27-07 02:43:36
0.0,0.0,27-07 02:43:37
0.0,0.0,27-07 02:43:38
0.0,44058559.0,27-07 02:43:39
0.0,53089794.0,27-07 02:43:40
0.0,47688956.0,27-07 02:43:41
0.0,51718943.0,27-07 02:43:42
0.0,53182567.0,27-07 02:43:43
42.0,48203635.0,27-07 02:43:44
0.0,52507298.0,27-07 02:43:45
0.0,54243824.0,27-07 02:43:46
0.0,48473385.0,27-07 02:43:47
0.0,43420924.0,27-07 02:43:48
0.0,46502002.0,27-07 02:43:49
0.0,55434025.0,27-07 02:43:50
0.0,55755019.0,27-07 02:43:51
0.0,55032305.0,27-07 02:43:52
0.0,49618920.0,27-07 02:43:53
0.0,58717695.0,27-07 02:43:54
0.0,57307007.0,27-07 02:43:55
0.0,58894284.0,27-07 02:43:56
0.0,58217436.0,27-07 02:43:57
0.0,59032107.0,27-07 02:43:58
0.0,48029299.0,27-07 02:43:59
0.0,48190973.0,27-07 02:44:00
0.0,53692151.0,27-07 02:44:01
0.0,56121830.0,27-07 02:44:02
0.0,56194349.0,27-07 02:44:03
0.0,54957715.0,27-07 02:44:04
0.0,54296149.0,27-07 02:44:05
0.0,49274773.0,27-07 02:44:06
0.0,48750637.0,27-07 02:44:07
0.0,54317838.0,27-07 02:44:08
0.0,57638101.0,27-07 02:44:09
0.0,54947276.0,27-07 02:44:10
0.0,57050243.0,27-07 02:44:11
42.0,56606385.0,27-07 02:44:12
0.0,42874111.0,27-07 02:44:13
0.0,49309903.0,27-07 02:44:14
0.0,48479574.0,27-07 02:44:15
0.0,57130065.0,27-07 02:44:16
0.0,56643539.0,27-07 02:44:17
0.0,48581805.0,27-07 02:44:18
0.0,57281909.0,27-07 02:44:19
0.0,57190133.0,27-07 02:44:20
0.0,48494063.0,27-07 02:44:21
0.0,52232676.0,27-07 02:44:22
0.0,56592489.0,27-07 02:44:23
0.0,51981669.0,27-07 02:44:24
0.0,54878425.0,27-07 02:44:25
0.0,52131989.0,27-07 02:44:26
0.0,50107259.0,27-07 02:44:27
0.0,58159954.0,27-07 02:44:28
0.0,53133651.0,27-07 02:44:29
0.0,49077630.0,27-07 02:44:30
0.0,57270437.0,27-07 02:44:31
0.0,52203072.0,27-07 02:44:32
0.0,59153617.0,27-07 02:44:33
0.0,59358451.0,27-07 02:44:34
0.0,47347726.0,27-07 02:44:35
0.0,56579249.0,27-07 02:44:36
0.0,55896665.0,27-07 02:44:37
0.0,50207578.0,27-07 02:44:38
42.0,54913190.0,27-07 02:44:39
0.0,49968747.0,27-07 02:44:40
0.0,52003035.0,27-07 02:44:41
0.0,46939955.0,27-07 02:44:42
0.0,53693989.0,27-07 02:44:43
0.0,48190599.0,27-07 02:44:44
0.0,47115536.0,27-07 02:44:45
0.0,51352888.0,27-07 02:44:46
0.0,56171320.0,27-07 02:44:47
0.0,57505787.0,27-07 02:44:48
0.0,56588580.0,27-07 02:44:49
0.0,56066595.0,27-07 02:44:50
0.0,57543986.0,27-07 02:44:51
0.0,52051403.0,27-07 02:44:52
0.0,54776133.0,27-07 02:44:53
0.0,45870695.0,27-07 02:44:54
0.0,49988799.0,27-07 02:44:55
0.0,57763825.0,27-07 02:44:56
0.0,57727188.0,27-07 02:44:57
0.0,49253225.0,27-07 02:44:58
0.0,54479514.0,27-07 02:44:59
0.0,57413837.0,27-07 02:45:00
0.0,56648465.0,27-07 02:45:01
0.0,58059946.0,27-07 02:45:02
0.0,59002866.0,27-07 02:45:03
0.0,57642757.0,27-07 02:45:04
0.0,58791440.0,27-07 02:45:05
0.0,51503209.0,27-07 02:45:06
42.0,49850963.0,27-07 02:45:07
0.0,48510319.0,27-07 02:45:08
0.0,55406155.0,27-07 02:45:09
0.0,46560627.0,27-07 02:45:10
0.0,50754229.0,27-07 02:45:11
0.0,49835273.0,27-07 02:45:12
0.0,45102198.0,27-07 02:45:13
0.0,44153995.0,27-07 02:45:14
0.0,52123115.0,27-07 02:45:15
0.0,49214357.0,27-07 02:45:16
0.0,51369356.0,27-07 02:45:17
0.0,51670534.0,27-07 02:45:18
0.0,51569885.0,27-07 02:45:19
0.0,47269228.0,27-07 02:45:20
0.0,46664315.0,27-07 02:45:21
0.0,48454277.0,27-07 02:45:22
0.0,56154576.0,27-07 02:45:23
0.0,57149218.0,27-07 02:45:24
0.0,57271886.0,27-07 02:45:25
0.0,44514827.0,27-07 02:45:26
0.0,50810096.0,27-07 02:45:27
0.0,51020691.0,27-07 02:45:28
0.0,52368528.0,27-07 02:45:29
0.0,52325608.0,27-07 02:45:30
0.0,46186906.0,27-07 02:45:31
0.0,49082285.0,27-07 02:45:32
0.0,56283885.0,27-07 02:45:33
0.0,49535421.0,27-07 02:45:34
42.0,53993454.0,27-07 02:45:35
0.0,50147946.0,27-07 02:45:36
