"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth14 --nocolor --output ./results/upgrade/10000-from-vpn-fw.csv",,,,"Date:","26 Jul 2017 04:31:34 UTC"

"net/dc2.s1-eth14",,"system"
"recv","send","time"
0.0,0.0,26-07 04:31:34
0.0,10781410.0,26-07 04:31:35
0.0,19786032.0,26-07 04:31:36
0.0,20261490.0,26-07 04:31:37
0.0,20073924.0,26-07 04:31:38
0.0,20213508.0,26-07 04:31:39
0.0,19531582.0,26-07 04:31:40
0.0,19605736.0,26-07 04:31:41
0.0,19909622.0,26-07 04:31:42
0.0,18196810.0,26-07 04:31:43
