"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth13 --nocolor --output ./results/upgrade/10000-from-vpn-ids2.csv",,,,"Date:","26 Jul 2017 04:31:34 UTC"

"net/dc2.s1-eth13",,"system"
"recv","send","time"
0.0,0.0,26-07 04:31:34
0.0,0.0,26-07 04:31:35
0.0,0.0,26-07 04:31:36
0.0,0.0,26-07 04:31:37
0.0,0.0,26-07 04:31:38
0.0,0.0,26-07 04:31:39
0.0,0.0,26-07 04:31:40
0.0,0.0,26-07 04:31:41
0.0,0.0,26-07 04:31:42
0.0,0.0,26-07 04:31:43
