"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","25 Jul 2017 18:52:26 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,25-07 18:52:26
15790440,0,25-07 18:52:27
26923718,0,25-07 18:52:28
22137150,0,25-07 18:52:29
16547974,0,25-07 18:52:30
10371382,0,25-07 18:52:31
9586222,0,25-07 18:52:32
10649096,0,25-07 18:52:33
8313972,0,25-07 18:52:34
10179454,0,25-07 18:52:35
8015902,0,25-07 18:52:36
9456816,0,25-07 18:52:37
10663636,0,25-07 18:52:38
8956640,0,25-07 18:52:39
8969726,0,25-07 18:52:40
10196902,0,25-07 18:52:41
8408482,0,25-07 18:52:42
5458316,0,25-07 18:52:43
6353980,0,25-07 18:52:44
10929718,0,25-07 18:52:45
9282336,0,25-07 18:52:46
9765064,0,25-07 18:52:47
9836310,0,25-07 18:52:48
10401916,0,25-07 18:52:49
8203468,0,25-07 18:52:50
9006076,0,25-07 18:52:51
12485498,0,25-07 18:52:52
9343404,0,25-07 18:52:53
11381912,0,25-07 18:52:54
9785420,0,25-07 18:52:55
11240874,0,25-07 18:52:56
10960252,0,25-07 18:52:57
8987174,0,25-07 18:52:58
11000964,0,25-07 18:52:59
7627684,0,25-07 18:53:00
9597854,0,25-07 18:53:01
11844284,0,25-07 18:53:02
9512068,0,25-07 18:53:03
11014050,0,25-07 18:53:04
8311064,0,25-07 18:53:05
9177648,0,25-07 18:53:06
10515328,0,25-07 18:53:07
7674212,0,25-07 18:53:08
8668748,0,25-07 18:53:09
9456816,0,25-07 18:53:10
9722898,0,25-07 18:53:11
10176546,0,25-07 18:53:12
8827234,0,25-07 18:53:13
13189234,0,25-07 18:53:14
8649846,0,25-07 18:53:15
10060226,0,25-07 18:53:16
10282688,0,25-07 18:53:17
9333226,0,25-07 18:53:18
9099132,0,25-07 18:53:19
9836490,0,25-07 18:53:20
8524802,0,25-07 18:53:21
11563662,0,25-07 18:53:22
8940646,0,25-07 18:53:23
10806128,0,25-07 18:53:24
8053706,0,25-07 18:53:25
10830846,0,25-07 18:53:26
8492814,0,25-07 18:53:27
8162756,0,25-07 18:53:28
11392090,0,25-07 18:53:29
11406630,0,25-07 18:53:30
9086046,0,25-07 18:53:31
10263786,0,25-07 18:53:32
9580406,0,25-07 18:53:33
9718536,0,25-07 18:53:34
10580758,0,25-07 18:53:35
10454260,0,25-07 18:53:36
9410288,0,25-07 18:53:37
8721092,0,25-07 18:53:38
8534980,0,25-07 18:53:39
8995898,0,25-07 18:53:40
10567672,0,25-07 18:53:41
8712368,0,25-07 18:53:42
