"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf1 --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:36:27 UTC"
"net/intf1",,"system"
"recv","send","time"
0,0,23-07 03:36:27
179280,43633086,23-07 03:36:28
326160,85706030,23-07 03:36:29
282042,77121614,23-07 03:36:30
224478,125351944,23-07 03:36:31
155699,145536251,23-07 03:36:32
156425,145479175,23-07 03:36:33
152483,140086510,23-07 03:36:34
170598,139988668,23-07 03:36:35
170797,143941401,23-07 03:36:36
157343,147355149,23-07 03:36:37
167387,153304777,23-07 03:36:38
151943,145278447,23-07 03:36:39
152907,143168915,23-07 03:36:40
171761,152565998,23-07 03:36:41
159503,149762399,23-07 03:36:42
147245,139277025,23-07 03:36:43
150269,139653917,23-07 03:36:44
163399,133418130,23-07 03:36:45
159989,141458631,23-07 03:36:46
164471,146693334,23-07 03:36:47
167981,149899921,23-07 03:36:48
147947,143159312,23-07 03:36:49
157551,140826325,23-07 03:36:50
158369,146448595,23-07 03:36:51
159437,150509631,23-07 03:36:52
157073,147259398,23-07 03:36:53
151619,138196464,23-07 03:36:54
162913,135830139,23-07 03:36:55
153596,141748551,23-07 03:36:56
131207,145383237,23-07 03:36:57
163823,153649427,23-07 03:36:58
161655,147117665,23-07 03:36:59
162959,144590048,23-07 03:37:00
152537,149169141,23-07 03:37:01
161447,150659103,23-07 03:37:02
156155,138292817,23-07 03:37:03
168338,135369497,23-07 03:37:04
157775,144539627,23-07 03:37:05
156263,145383803,23-07 03:37:06
149189,143829698,23-07 03:37:07
173867,151533781,23-07 03:37:08
157613,145368492,23-07 03:37:09
64463,144675653,23-07 03:37:10
31361,144187968,23-07 03:37:11
155661,137158084,23-07 03:37:12
170365,144296640,23-07 03:37:13
148811,138756391,23-07 03:37:14
148757,142706301,23-07 03:37:15
155831,144466218,23-07 03:37:16
152691,148756377,23-07 03:37:17
162365,149948427,23-07 03:37:18
159179,144005054,23-07 03:37:19
143087,142405159,23-07 03:37:20
133915,136508437,23-07 03:37:21
169842,136712815,23-07 03:37:22
157592,147594248,23-07 03:37:23
159719,150239231,23-07 03:37:24
159827,142303629,23-07 03:37:25
141629,143482985,23-07 03:37:26
151611,141549672,23-07 03:37:27
154589,142884114,23-07 03:37:28
148001,142319581,23-07 03:37:29
163229,150984540,23-07 03:37:30
168151,140756635,23-07 03:37:31
157019,138440501,23-07 03:37:32
159179,143441756,23-07 03:37:33
153131,143605101,23-07 03:37:34
156263,141763502,23-07 03:37:35
156911,142742946,23-07 03:37:36
157281,149451713,23-07 03:37:37
177323,148472735,23-07 03:37:38
141899,138780562,23-07 03:37:39
161069,144350579,23-07 03:37:40
161165,138619677,23-07 03:37:41
155785,137982138,23-07 03:37:42
163553,148039173,23-07 03:37:43
