"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids1",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:36:27 UTC"
"net/input",,"system"
"recv","send","time"
0,0,23-07 03:36:27
0,0,23-07 03:36:28
0,0,23-07 03:36:29
0,0,23-07 03:36:30
0,0,23-07 03:36:31
0,0,23-07 03:36:32
0,0,23-07 03:36:33
0,0,23-07 03:36:34
0,0,23-07 03:36:35
0,0,23-07 03:36:36
0,0,23-07 03:36:37
0,0,23-07 03:36:38
0,0,23-07 03:36:39
0,0,23-07 03:36:40
0,0,23-07 03:36:41
0,0,23-07 03:36:42
0,0,23-07 03:36:43
0,0,23-07 03:36:44
0,0,23-07 03:36:45
0,0,23-07 03:36:46
0,0,23-07 03:36:47
0,0,23-07 03:36:48
0,0,23-07 03:36:49
0,0,23-07 03:36:50
0,0,23-07 03:36:51
0,0,23-07 03:36:52
0,0,23-07 03:36:53
0,0,23-07 03:36:54
0,0,23-07 03:36:55
0,0,23-07 03:36:56
0,0,23-07 03:36:57
0,0,23-07 03:36:58
0,0,23-07 03:36:59
0,0,23-07 03:37:00
0,0,23-07 03:37:01
0,0,23-07 03:37:02
0,0,23-07 03:37:03
0,0,23-07 03:37:04
0,0,23-07 03:37:05
0,0,23-07 03:37:06
0,0,23-07 03:37:07
0,0,23-07 03:37:08
0,0,23-07 03:37:09
0,0,23-07 03:37:10
0,0,23-07 03:37:11
0,0,23-07 03:37:12
0,0,23-07 03:37:13
0,0,23-07 03:37:14
0,0,23-07 03:37:15
0,0,23-07 03:37:16
0,0,23-07 03:37:17
0,0,23-07 03:37:18
0,0,23-07 03:37:19
0,0,23-07 03:37:20
0,0,23-07 03:37:21
0,0,23-07 03:37:22
0,0,23-07 03:37:23
0,0,23-07 03:37:24
0,0,23-07 03:37:25
0,0,23-07 03:37:26
0,0,23-07 03:37:27
0,0,23-07 03:37:28
0,0,23-07 03:37:29
0,0,23-07 03:37:30
0,0,23-07 03:37:31
0,0,23-07 03:37:32
0,0,23-07 03:37:33
0,0,23-07 03:37:34
0,0,23-07 03:37:35
0,0,23-07 03:37:36
0,0,23-07 03:37:37
0,0,23-07 03:37:38
0,0,23-07 03:37:39
0,0,23-07 03:37:40
0,0,23-07 03:37:41
0,0,23-07 03:37:42
0,0,23-07 03:37:43
