"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:37:48 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,23-07 03:37:48
0,0,23-07 03:37:49
0,0,23-07 03:37:50
0,0,23-07 03:37:51
0,0,23-07 03:37:52
0,0,23-07 03:37:53
0,0,23-07 03:37:54
0,0,23-07 03:37:55
0,0,23-07 03:37:56
0,0,23-07 03:37:57
0,0,23-07 03:37:58
0,0,23-07 03:37:59
0,0,23-07 03:38:00
0,0,23-07 03:38:01
0,0,23-07 03:38:02
0,0,23-07 03:38:03
0,0,23-07 03:38:04
0,0,23-07 03:38:05
0,0,23-07 03:38:06
0,0,23-07 03:38:07
0,0,23-07 03:38:08
0,0,23-07 03:38:09
0,0,23-07 03:38:10
0,0,23-07 03:38:11
0,0,23-07 03:38:12
0,0,23-07 03:38:13
0,0,23-07 03:38:14
0,0,23-07 03:38:15
0,0,23-07 03:38:16
0,0,23-07 03:38:17
0,0,23-07 03:38:18
0,0,23-07 03:38:19
0,0,23-07 03:38:20
0,0,23-07 03:38:21
0,0,23-07 03:38:22
0,0,23-07 03:38:23
0,0,23-07 03:38:24
0,0,23-07 03:38:25
0,0,23-07 03:38:26
0,0,23-07 03:38:27
0,0,23-07 03:38:28
0,0,23-07 03:38:29
0,0,23-07 03:38:30
0,0,23-07 03:38:31
0,0,23-07 03:38:32
0,0,23-07 03:38:33
0,0,23-07 03:38:34
0,0,23-07 03:38:35
0,0,23-07 03:38:36
0,0,23-07 03:38:37
0,0,23-07 03:38:38
0,0,23-07 03:38:39
0,0,23-07 03:38:40
0,0,23-07 03:38:41
0,0,23-07 03:38:42
0,0,23-07 03:38:43
0,0,23-07 03:38:44
0,0,23-07 03:38:45
0,0,23-07 03:38:46
0,0,23-07 03:38:47
0,0,23-07 03:38:48
0,0,23-07 03:38:49
0,0,23-07 03:38:50
0,0,23-07 03:38:51
0,0,23-07 03:38:52
0,0,23-07 03:38:53
0,0,23-07 03:38:54
0,0,23-07 03:38:55
0,0,23-07 03:38:56
0,0,23-07 03:38:57
0,0,23-07 03:38:58
0,0,23-07 03:38:59
0,0,23-07 03:39:00
0,0,23-07 03:39:01
0,0,23-07 03:39:02
0,0,23-07 03:39:03
0,0,23-07 03:39:04
