"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids2",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:36:27 UTC"
"net/input",,"system"
"recv","send","time"
0,0,23-07 03:36:27
6598252,220968,23-07 03:36:28
10432450,332532,23-07 03:36:29
10579304,332478,23-07 03:36:30
11046986,215898,23-07 03:36:31
12026348,172738,23-07 03:36:32
12770555,184294,23-07 03:36:33
11184608,171820,23-07 03:36:34
11823905,182026,23-07 03:36:35
11873250,175446,23-07 03:36:36
12439319,180406,23-07 03:36:37
12631743,168580,23-07 03:36:38
12054225,167438,23-07 03:36:39
12170696,174520,23-07 03:36:40
12500358,182296,23-07 03:36:41
12240190,161020,23-07 03:36:42
10969865,168094,23-07 03:36:43
12794207,195580,23-07 03:36:44
11977553,165564,23-07 03:36:45
11800993,168526,23-07 03:36:46
11896505,177382,23-07 03:36:47
12015001,167500,23-07 03:36:48
12480007,160364,23-07 03:36:49
12018632,180676,23-07 03:36:50
12317665,179434,23-07 03:36:51
12442320,167500,23-07 03:36:52
11264020,161074,23-07 03:36:53
11728312,181054,23-07 03:36:54
11778827,164268,23-07 03:36:55
12016995,170524,23-07 03:36:56
11878782,151678,23-07 03:36:57
11929376,172036,23-07 03:36:58
11740823,168140,23-07 03:36:59
12666472,184726,23-07 03:37:00
12406260,170848,23-07 03:37:01
11093680,163384,23-07 03:37:02
11539331,178612,23-07 03:37:03
12241765,171114,23-07 03:37:04
12171445,186346,23-07 03:37:05
12415281,170308,23-07 03:37:06
12241214,165232,23-07 03:37:07
12063892,176510,23-07 03:37:08
12355350,165394,23-07 03:37:09
3790654,70956,23-07 03:37:10
3109442,35674,23-07 03:37:11
12220737,185852,23-07 03:37:12
12761656,186138,23-07 03:37:13
12154134,159184,23-07 03:37:14
11844172,156646,23-07 03:37:15
12202103,173818,23-07 03:37:16
12436929,165764,23-07 03:37:17
11630154,164962,23-07 03:37:18
12550322,168202,23-07 03:37:19
11304788,164314,23-07 03:37:20
11485122,156762,23-07 03:37:21
12577356,181864,23-07 03:37:22
11924172,170092,23-07 03:37:23
11725822,160912,23-07 03:37:24
12126970,181918,23-07 03:37:25
11710477,150266,23-07 03:37:26
11861494,177490,23-07 03:37:27
12044559,161452,23-07 03:37:28
11599759,164422,23-07 03:37:29
11954431,180514,23-07 03:37:30
11931278,173934,23-07 03:37:31
11454844,164530,23-07 03:37:32
12725972,171820,23-07 03:37:33
11937262,169120,23-07 03:37:34
12198525,185266,23-07 03:37:35
12446507,169598,23-07 03:37:36
12055775,173008,23-07 03:37:37
11922686,180730,23-07 03:37:38
11922951,164530,23-07 03:37:39
11433601,167014,23-07 03:37:40
12263058,173008,23-07 03:37:41
11989225,170844,23-07 03:37:42
12411366,187414,23-07 03:37:43
