"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf1 --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:37:48 UTC"
"net/intf1",,"system"
"recv","send","time"
0,0,23-07 03:37:48
155142,50571574,23-07 03:37:49
325458,94379140,23-07 03:37:50
283176,78681756,23-07 03:37:51
205392,131061125,23-07 03:37:52
149783,152031944,23-07 03:37:53
157559,147583363,23-07 03:37:54
175703,153811433,23-07 03:37:55
120307,150167890,23-07 03:37:56
153509,159143041,23-07 03:37:57
146103,146231877,23-07 03:37:58
165173,160477658,23-07 03:37:59
157559,151641436,23-07 03:38:00
168853,149739786,23-07 03:38:01
142904,155317787,23-07 03:38:02
144707,159359019,23-07 03:38:03
131091,146681425,23-07 03:38:04
155885,158533322,23-07 03:38:05
150215,158366753,23-07 03:38:06
157289,144373491,23-07 03:38:07
164101,149064704,23-07 03:38:08
131315,150331802,23-07 03:38:09
149621,163097702,23-07 03:38:10
143565,154170421,23-07 03:38:11
135797,156808459,23-07 03:38:12
152051,155209837,23-07 03:38:13
160961,150935329,23-07 03:38:14
133321,146379931,23-07 03:38:15
160529,155796635,23-07 03:38:16
151727,156359656,23-07 03:38:17
143781,153290819,23-07 03:38:18
163445,162937291,23-07 03:38:19
154697,156119356,23-07 03:38:20
137101,154994001,23-07 03:38:21
134393,154467895,23-07 03:38:22
145301,156252128,23-07 03:38:23
140811,159814298,23-07 03:38:24
135365,150465505,23-07 03:38:25
66253,153702346,23-07 03:38:26
103,150064573,23-07 03:38:27
103,156622091,23-07 03:38:28
103,151922685,23-07 03:38:29
103,157523707,23-07 03:38:30
103,161179331,23-07 03:38:31
145,151796186,23-07 03:38:32
103,150055998,23-07 03:38:33
103,147412554,23-07 03:38:34
103,142853025,23-07 03:38:35
103,157233206,23-07 03:38:36
103,148331152,23-07 03:38:37
103,160586129,23-07 03:38:38
103,162594714,23-07 03:38:39
103,156335950,23-07 03:38:40
103,142272336,23-07 03:38:41
103,153924363,23-07 03:38:42
103,154903521,23-07 03:38:43
103,155208275,23-07 03:38:44
103,162042953,23-07 03:38:45
103,154269589,23-07 03:38:46
103,149934426,23-07 03:38:47
103,150114213,23-07 03:38:48
103,149955030,23-07 03:38:49
103,159176216,23-07 03:38:50
37501,153836348,23-07 03:38:51
146597,161400404,23-07 03:38:52
135689,148751773,23-07 03:38:53
144794,145142572,23-07 03:38:54
152807,161715967,23-07 03:38:55
146813,157797967,23-07 03:38:56
154365,151487069,23-07 03:38:57
131747,149686790,23-07 03:38:58
104323,155020489,23-07 03:38:59
103,151132715,23-07 03:39:00
103,144882051,23-07 03:39:01
63661,159925055,23-07 03:39:02
152429,150323587,23-07 03:39:03
162411,157406267,23-07 03:39:04
