"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids1",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","02 Jul 2017 06:40:19 UTC"
"net/input",,"system"
"recv","send","time"
0,0,02-07 06:40:19
98,98,02-07 06:40:20
98,98,02-07 06:40:21
477,305,02-07 06:40:22
1187869,28951,02-07 06:40:23
1343158,31646,02-07 06:40:24
1343158,32438,02-07 06:40:25
1344120,34724,02-07 06:40:26
1343158,30194,02-07 06:40:27
1343158,26102,02-07 06:40:28
1385818,30464,02-07 06:40:29
1343158,26564,02-07 06:40:30
1343224,30788,02-07 06:40:31
1343158,25442,02-07 06:40:32
1343158,30722,02-07 06:40:33
1343158,32438,02-07 06:40:34
1343158,32438,02-07 06:40:35
1398156,30848,02-07 06:40:36
1343224,29072,02-07 06:40:37
1343158,27422,02-07 06:40:38
1343158,24848,02-07 06:40:39
1343158,14552,02-07 06:40:40
1343158,16334,02-07 06:40:41
1362606,26084,02-07 06:40:42
71280,1716,02-07 06:40:43
78,0,02-07 06:40:44
250,0,02-07 06:40:45
0,0,02-07 06:40:46
0,0,02-07 06:40:47
0,0,02-07 06:40:48
70,0,02-07 06:40:49
0,0,02-07 06:40:50
0,0,02-07 06:40:51
0,0,02-07 06:40:52
70,0,02-07 06:40:53
0,0,02-07 06:40:54
0,0,02-07 06:40:55
0,0,02-07 06:40:56
0,0,02-07 06:40:57
0,0,02-07 06:40:58
0,0,02-07 06:40:59
0,0,02-07 06:41:00
0,0,02-07 06:41:01
0,0,02-07 06:41:02
0,0,02-07 06:41:03
0,0,02-07 06:41:04
0,0,02-07 06:41:05
0,0,02-07 06:41:06
0,0,02-07 06:41:07
0,0,02-07 06:41:08
0,0,02-07 06:41:09
0,0,02-07 06:41:10
0,0,02-07 06:41:11
0,0,02-07 06:41:12
0,0,02-07 06:41:13
0,0,02-07 06:41:14
0,0,02-07 06:41:15
0,0,02-07 06:41:16
0,0,02-07 06:41:17
0,0,02-07 06:41:18
0,0,02-07 06:41:19
0,0,02-07 06:41:20
0,0,02-07 06:41:21
0,0,02-07 06:41:22
0,0,02-07 06:41:23
0,0,02-07 06:41:24
0,0,02-07 06:41:25
