"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","02 Jul 2017 06:40:19 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,02-07 06:40:19
0,0,02-07 06:40:20
0,0,02-07 06:40:21
0,0,02-07 06:40:22
0,0,02-07 06:40:23
0,0,02-07 06:40:24
0,0,02-07 06:40:25
0,0,02-07 06:40:26
0,0,02-07 06:40:27
0,0,02-07 06:40:28
0,0,02-07 06:40:29
0,0,02-07 06:40:30
0,0,02-07 06:40:31
0,0,02-07 06:40:32
0,0,02-07 06:40:33
0,0,02-07 06:40:34
0,0,02-07 06:40:35
0,0,02-07 06:40:36
0,0,02-07 06:40:37
0,0,02-07 06:40:38
0,0,02-07 06:40:39
0,0,02-07 06:40:40
0,0,02-07 06:40:41
0,0,02-07 06:40:42
0,0,02-07 06:40:43
0,0,02-07 06:40:44
0,0,02-07 06:40:45
0,0,02-07 06:40:46
0,0,02-07 06:40:47
0,0,02-07 06:40:48
0,0,02-07 06:40:49
0,0,02-07 06:40:50
0,0,02-07 06:40:51
0,0,02-07 06:40:52
0,0,02-07 06:40:53
0,0,02-07 06:40:54
0,0,02-07 06:40:55
0,0,02-07 06:40:56
0,0,02-07 06:40:57
0,0,02-07 06:40:58
0,0,02-07 06:40:59
0,0,02-07 06:41:00
0,0,02-07 06:41:01
0,0,02-07 06:41:02
0,0,02-07 06:41:03
0,0,02-07 06:41:04
0,0,02-07 06:41:05
0,0,02-07 06:41:06
0,0,02-07 06:41:07
0,0,02-07 06:41:08
0,0,02-07 06:41:09
0,0,02-07 06:41:10
0,0,02-07 06:41:11
0,0,02-07 06:41:12
0,0,02-07 06:41:13
0,0,02-07 06:41:14
0,0,02-07 06:41:15
0,0,02-07 06:41:16
0,0,02-07 06:41:17
0,0,02-07 06:41:18
0,0,02-07 06:41:19
0,0,02-07 06:41:20
0,0,02-07 06:41:21
0,0,02-07 06:41:22
0,0,02-07 06:41:23
0,0,02-07 06:41:24
0,0,02-07 06:41:25
